Numero de muestra;Valor original;Valor filtrado
1;-0.0000915555;-0.0000000000
2;0.0002441481;-0.0000000000
3;-0.0001220740;-0.0000000000
4;0.0000915555;-0.0000000001
5;-0.0001525925;-0.0000000002
6;0.0001831111;-0.0000000006
7;0.0000305185;-0.0000000009
8;-0.0002136296;-0.0000000010
9;0.0000305185;0.0000000004
10;-0.0001525925;0.0000000053
11;0.0000305185;0.0000000172
12;0.0000915555;0.0000000411
13;0.0000000000;0.0000000835
14;-0.0002441481;0.0000001517
15;-0.0001220740;0.0000002528
16;0.0000305185;0.0000003921
17;-0.0001220740;0.0000005718
18;-0.0000610370;0.0000007887
19;0.0001220740;0.0000010331
20;0.0000915555;0.0000012871
21;0.0000915555;0.0000015236
22;0.0000000000;0.0000017060
23;-0.0000305185;0.0000017887
24;-0.0000305185;0.0000017185
25;-0.0000305185;0.0000014377
26;-0.0000610370;0.0000008882
27;0.0000610370;0.0000000169
28;-0.0003051851;-0.0000012179
29;-0.0002441481;-0.0000028414
30;-0.0002136296;-0.0000048562
31;-0.0001525925;-0.0000072395
32;-0.0000915555;-0.0000099416
33;-0.0001525925;-0.0000128876
34;0.0000305185;-0.0000159817
35;0.0000915555;-0.0000191153
36;-0.0001220740;-0.0000221764
37;-0.0000305185;-0.0000250611
38;-0.0000305185;-0.0000276845
39;-0.0002441481;-0.0000299910
40;-0.0000915555;-0.0000319608
41;-0.0000915555;-0.0000336137
42;-0.0001525925;-0.0000350082
43;-0.0000610370;-0.0000362366
44;0.0000000000;-0.0000374168
45;0.0000000000;-0.0000386819
46;-0.0000915555;-0.0000401679
47;0.0000305185;-0.0000420015
48;-0.0000305185;-0.0000442897
49;0.0000915555;-0.0000471094
50;0.0000305185;-0.0000505007
51;-0.0000305185;-0.0000544622
52;-0.0000915555;-0.0000589491
53;-0.0001220740;-0.0000638733
54;0.0001220740;-0.0000691070
55;-0.0001831111;-0.0000744877
56;0.0000000000;-0.0000798250
57;-0.0000610370;-0.0000849097
58;0.0000305185;-0.0000895234
59;-0.0001220740;-0.0000934500
60;-0.0001220740;-0.0000964865
61;-0.0001831111;-0.0000984549
62;-0.0001220740;-0.0000992128
63;-0.0001220740;-0.0000986621
64;0.0000000000;-0.0000967571
65;-0.0000305185;-0.0000935091
66;-0.0000915555;-0.0000889888
67;0.0000000000;-0.0000833265
68;-0.0000610370;-0.0000767084
69;-0.0000305185;-0.0000693704
70;-0.0000915555;-0.0000615898
